t,scout_x,scout_y,scout_z,mship_x,mship_y,mship_z,sv_x,sv_y,sv_z,mv_x,mv_y,mv_z,r_rel_x,r_rel_y,r_rel_z,v_rel_x,v_rel_y,v_rel_z,lat_err_m,range_to_pad_m,aligned,docked,phase
0.9167,1.10823,0.51108,2.53409,1.09935,0.48108,1.09323,-0.21606,0.49571,-0.71218,-0.21649,0.49471,-0.16218,0.01789,0.00935,1.47053,0.01081,0.00587,-0.46916,0.020181,1.441197,1,0,DESCENDING
0.9583,1.09883,0.53158,2.50108,1.09013,0.50161,1.08480,-0.22565,0.49201,-0.79202,-0.22572,0.49056,-0.24202,0.01810,0.00947,1.44928,0.00966,0.00515,-0.47016,0.020427,1.416625,1,0,DESCENDING
1.0000,1.08903,0.55189,2.46482,1.08054,0.52196,1.07308,-0.23513,0.48728,-0.87037,-0.23488,0.48624,-0.32037,0.01829,0.00962,1.42800,0.00923,0.00577,-0.47165,0.020668,1.392086,1,0,DESCENDING
1.0417,1.07886,0.57199,2.42537,1.07056,0.54213,1.05813,-0.24397,0.48260,-0.94674,-0.24396,0.48175,-0.39674,0.01847,0.00976,1.40669,0.00883,0.00553,-0.47363,0.020890,1.367590,1,0,DESCENDING
1.0833,1.06831,0.59190,2.38284,1.06021,0.56210,1.04005,-0.25330,0.47778,-1.02066,-0.25295,0.47709,-0.47066,0.01866,0.00989,1.38532,0.00897,0.00551,-0.47607,0.021117,1.343146,1,0,DESCENDING
1.1250,1.05737,0.61159,2.33736,1.04948,0.58188,1.01895,-0.26261,0.47262,-1.09169,-0.26185,0.47227,-0.54169,0.01883,0.01002,1.36389,0.00855,0.00551,-0.47898,0.021328,1.318764,1,0,DESCENDING
1.1667,1.04603,0.63108,2.28905,1.03839,0.60146,0.99496,-0.27220,0.46756,-1.15937,-0.27066,0.46727,-0.60937,0.01898,0.01014,1.34240,0.00805,0.00534,-0.48232,0.021518,1.294453,1,0,DESCENDING
1.2083,1.03431,0.65035,2.23808,1.02693,0.62082,0.96822,-0.28123,0.46257,-1.22330,-0.27937,0.46212,-0.67330,0.01910,0.01026,1.32083,0.00716,0.00544,-0.48607,0.021677,1.270221,1,0,DESCENDING
1.2500,1.02222,0.66937,2.18462,1.01511,0.63996,0.93891,-0.29019,0.45642,-1.28308,-0.28798,0.45680,-0.73308,0.01920,0.01039,1.29917,0.00676,0.00577,-0.49022,0.021828,1.246077,1,0,DESCENDING
1.2917,1.00976,0.68817,2.12885,1.00293,0.65888,0.90720,-0.29892,0.45126,-1.33833,-0.29650,0.45132,-0.78833,0.01929,0.01048,1.27742,0.00631,0.00510,-0.49474,0.021951,1.222028,1,0,DESCENDING
1.3333,0.99694,0.70672,2.07099,0.99040,0.67757,0.87328,-0.30762,0.44516,-1.38873,-0.30491,0.44568,-0.83873,0.01936,0.01060,1.25557,0.00598,0.00558,-0.49960,0.022071,1.198081,1,0,DESCENDING
1.3750,0.98376,0.72500,2.01124,0.97752,0.69602,0.83737,-0.31644,0.43883,-1.43395,-0.31321,0.43989,-0.88395,0.01942,0.01070,1.23362,0.00559,0.00527,-0.50477,0.022171,1.174243,1,0,DESCENDING
1.4167,0.97023,0.74302,1.94984,0.96430,0.71423,0.79969,-0.32483,0.43235,-1.47373,-0.32140,0.43394,-0.92373,0.01946,0.01078,1.21155,0.00496,0.00489,-0.51022,0.022241,1.150518,1,0,DESCENDING
1.4583,0.95637,0.76077,1.88701,0.95074,0.73218,0.76048,-0.33249,0.42604,-1.50781,-0.32948,0.42783,-0.95781,0.01948,0.01084,1.18936,0.00465,0.00451,-0.51592,0.022294,1.126913,1,0,DESCENDING
1.5000,0.94218,0.77827,1.82301,0.93685,0.74988,0.71996,-0.34048,0.42015,-1.53598,-0.33744,0.42158,-0.98598,0.01952,0.01089,1.16705,0.00495,0.00446,-0.52182,0.022356,1.103431,1,0,DESCENDING
1.5417,0.92769,0.79551,1.75809,0.92262,0.76731,0.67839,-0.34793,0.41358,-1.55808,-0.34529,0.41518,-1.00808,0.01956,0.01097,1.14462,0.00480,0.00497,-0.52790,0.022424,1.080077,1,0,DESCENDING
1.5833,0.91287,0.81247,1.69251,0.90808,0.78447,0.63604,-0.35564,0.40715,-1.57396,-0.35301,0.40863,-1.02396,0.01961,0.01103,1.12205,0.00508,0.00495,-0.53412,0.022503,1.056854,1,0,DESCENDING
