t,scout_x,scout_y,scout_z,mship_x,mship_y,mship_z,sv_x,sv_y,sv_z,mv_x,mv_y,mv_z,r_rel_x,r_rel_y,r_rel_z,v_rel_x,v_rel_y,v_rel_z,lat_err_m,range_to_pad_m,aligned,docked,phase
4.4583,-0.51012,1.09165,1.03816,-0.50619,1.08801,1.01895,-0.48967,-0.23229,-0.61331,-0.48961,-0.22778,-0.54169,0.01647,0.01332,0.04476,-0.00466,0.00494,-0.00316,0.021180,0.019942,1,0,DESCENDING
4.5000,-0.53034,1.08159,1.00989,-0.52650,1.07833,0.99496,-0.48528,-0.24144,-0.67849,-0.48525,-0.23692,-0.60937,0.01638,0.01332,0.04320,-0.00442,0.00463,-0.00394,0.021109,0.015759,1,0,DESCENDING
4.5417,-0.55037,1.07116,0.97906,-0.54662,1.06827,0.96822,-0.48060,-0.25032,-0.73997,-0.48072,-0.24598,-0.67330,0.01628,0.01332,0.04167,-0.00456,0.00453,-0.00520,0.021036,0.011823,1,0,DESCENDING
4.5833,-0.57018,1.06038,0.94584,-0.56655,1.05784,0.93891,-0.47564,-0.25876,-0.79732,-0.47603,-0.25495,-0.73308,0.01619,0.01333,0.04015,-0.00458,0.00463,-0.00689,0.020969,0.008225,1,0,DESCENDING
4.6250,-0.58979,1.04922,0.91041,-0.58629,1.04703,0.90720,-0.47064,-0.26775,-0.85016,-0.47116,-0.26383,-0.78833,0.01610,0.01335,0.03864,-0.00447,0.00507,-0.00898,0.020920,0.005241,1,0,DESCENDING
4.6667,-0.60920,1.03770,0.87299,-0.60582,1.03585,0.87328,-0.46575,-0.27659,-0.89814,-0.46613,-0.27262,-0.83873,0.01602,0.01337,0.03713,-0.00451,0.00487,-0.01143,0.020870,0.003867,1,0,DESCENDING
4.7083,-0.62837,1.02580,0.83379,-0.62513,1.02431,0.83737,-0.46014,-0.28557,-0.94094,-0.46094,-0.28131,-0.88395,0.01593,0.01339,0.03562,-0.00481,0.00472,-0.01419,0.020810,0.005061,1,0,DESCENDING
4.7500,-0.64731,1.01355,0.79302,-0.64422,1.01241,0.79969,-0.45460,-0.29397,-0.97827,-0.45558,-0.28990,-0.92373,0.01585,0.01339,0.03409,-0.00456,0.00433,-0.01721,0.020752,0.007440,1,0,DESCENDING
4.7917,-0.66602,1.00094,0.75095,-0.66309,1.00015,0.76048,-0.44895,-0.30264,-1.00989,-0.45007,-0.29839,-0.95781,0.01578,0.01340,0.03255,-0.00453,0.00443,-0.02046,0.020701,0.010001,1,0,DESCENDING
4.8333,-0.68447,0.98798,0.70996,-0.68173,0.98755,0.71996,-0.44280,-0.31102,-1.03556,-0.44440,-0.30678,-0.98598,0.01571,0.01340,0.03099,-0.00455,0.00413,-0.02390,0.020645,0.010378,1,0,DESCENDING
4.8750,-0.70267,0.97469,0.66839,-0.70012,0.97459,0.67839,-0.43669,-0.31893,-1.05858,-0.43857,-0.31506,-1.00808,0.01565,0.01339,0.03156,-0.00423,0.00404,-0.02748,0.020601,0.010318,1,0,DESCENDING
4.9167,-0.72059,0.96106,0.62604,-0.71827,0.96129,0.63604,-0.43022,-0.32723,-1.07573,-0.43258,-0.32322,-1.02396,0.01561,0.01340,0.03236,-0.00411,0.00429,-0.03462,0.020572,0.010268,1,0,DESCENDING
4.9583,-0.73826,0.94709,0.58315,-0.73617,0.94766,0.59315,-0.42415,-0.33522,-1.08615,-0.42645,-0.33128,-1.03353,0.01558,0.01340,0.03289,-0.00378,0.00405,-0.04220,0.020551,0.010233,1,0,DESCENDING
5.0000,-0.75567,0.93277,0.54000,-0.75381,0.93369,0.55000,-0.41783,-0.34378,-1.08977,-0.42016,-0.33921,-1.03673,0.01554,0.01341,0.03315,-0.00399,0.00399,-0.04942,0.020526,0.010214,1,0,DESCENDING
5.0417,-0.77280,0.91812,0.49685,-0.77118,0.91939,0.50685,-0.41090,-0.35158,-1.08657,-0.41373,-0.34703,-1.03353,0.01551,0.01338,0.03315,-0.00410,0.00325,-0.05624,0.020481,0.010209,1,0,DESCENDING
5.0833,-0.78963,0.90314,0.45396,-0.78828,0.90477,0.46396,-0.40402,-0.35961,-1.07658,-0.40715,-0.35473,-1.02396,0.01549,0.01335,0.03289,-0.00376,0.00314,-0.06261,0.020447,0.010222,1,0,DESCENDING
5.1250,-0.80616,0.88783,0.41161,-0.80511,0.88983,0.42161,-0.39684,-0.36730,-1.05985,-0.40042,-0.36230,-1.00808,0.01548,0.01330,0.03236,-0.00359,0.00269,-0.06850,0.020411,0.010253,1,0,DESCENDING
5.1667,-0.82241,0.87220,0.37004,-0.82165,0.87458,0.38004,-0.39000,-0.37510,-1.03649,-0.39356,-0.36974,-0.98598,0.01549,0.01325,0.03156,-0.00328,0.00244,-0.07387,0.020382,0.010307,1,0,DESCENDING
5.2083,-0.83837,0.85627,0.32952,-0.83790,0.85902,0.33952,-0.38306,-0.38237,-1.00664,-0.38656,-0.37706,-0.95781,0.01549,0.01318,0.03052,-0.00344,0.00196,-0.07868,0.020338,0.010382,1,0,DESCENDING
5.2500,-0.83837,0.85627,0.32952,-0.85386,0.84316,0.30031,-0.37942,-0.38424,-0.92373,-0.37942,-0.38424,-0.92373,0.01549,0.01311,0.02922,-0.00363,0.00187,-0.08291,0.020291,0.035573,1,1,DOCKED
